ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,Calle,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,COMUNA_NOMBRE,COMUNA_POB,DIA_SEMANA_NUM,DIA_SEMANA_STR
2016-0076,1,2016-06-13,2016,6,13,16.0,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y CAMARONES,15.0,-58.46210891,-34.60356211,PEATON,PASAJEROS,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas",197903.0,0,Lunes
2016-0077,1,2016-06-13,2016,6,13,21.0,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1.0,-58.3702777,-34.60536123,PEATON,PASAJEROS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,0,Lunes
2016-0078,1,2016-06-13,2016,6,13,23.0,AVENIDA,BELGRANO AV.,BELGRANO AV. y JUJUY AV.,3.0,-58.40491455,-34.6146383,MOTO,MOTO,"San Cristóbal, Balvanera",236294.0,0,Lunes
2016-0079,1,2016-06-16,2016,6,16,17.0,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13.0,-58.45504154,-34.54864492,AUTO,AUTO,"Núñez, Belgrano, Colegiales",265199.0,3,Jueves
2016-0080,1,2016-06-18,2016,6,18,6.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y RIVADAVIA AV.",9.0,-58.52927982,-34.63931752,AUTO,,"Liniers, Mataderos, Parque Avellaneda",169538.0,5,Sábado
2016-0081,1,2016-06-22,2016,6,22,7.0,AVENIDA,"LARRALDE, CRISOLOGO AV.","LARRALDE, CRISOLOGO AV. y MACHAIN",12.0,-58.4872106,-34.55904606,MOTO,AUTO,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,2,Miércoles
2016-0082,1,2016-06-27,2016,6,27,18.0,AVENIDA,LA PLATA AV.,LA PLATA AV. 2384,4.0,-58.42273092,-34.64228803,PEATON,AUTO,"Barracas, La Boca",230945.0,0,Lunes
2016-0083,1,2016-06-28,2016,6,28,20.0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y PUAN",6.0,-58.44788671,-34.62539009,PEATON,MOTO,Caballito,203784.0,1,Martes
2016-0084,1,2016-06-29,2016,6,29,22.0,CALLE,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y TUCUMAN",1.0,-58.38110563,-34.60135531,PEATON,PASAJEROS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,2,Miércoles
2016-0085,1,2016-06-29,2016,6,29,22.0,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4.0,-58.42378834,-34.657341,MOTO,OTRO,"Barracas, La Boca",230945.0,2,Miércoles
2016-0086,1,2016-06-30,2016,6,30,16.0,AVENIDA,OLIVERA AV.,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10.0,-58.48727942,-34.63652467,PEATON,PASAJEROS,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sársfield, Villa Luro",171797.0,3,Jueves
2016-0087,1,2016-07-02,2016,7,3,0.0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1.0,-58.37864583,-34.62907067,MOTO,OBJETO FIJO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,5,Sábado
2016-0088,1,2016-07-11,2016,7,11,15.0,CALLE,CERETTI,CERETTI y NUÃ‘EZ,12.0,-58.5015175,-34.56767549,PEATON,AUTO,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,0,Lunes
2016-0089,1,2016-07-14,2016,7,14,6.0,AUTOPISTA,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV. y LA PAMPA",13.0,-58.43233425,-34.55185825,PEATON,AUTO,"Núñez, Belgrano, Colegiales",265199.0,3,Jueves
2016-0090,1,2016-07-14,2016,7,14,22.0,AVENIDA,"SALGUERO, JERONIMO","SALGUERO, JERONIMO y RIVADAVIA AV.",5.0,-58.41971993,-34.6111224,PEATON,PASAJEROS,"Almagro, Boedo",193859.0,3,Jueves
2016-0092,1,2016-07-15,2016,7,15,11.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13.0,-58.46743471,-34.53476874,MOTO,CARGAS,"Núñez, Belgrano, Colegiales",265199.0,4,Viernes
2016-0093,1,2016-07-17,2016,7,17,3.0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6.0,-58.44362126,-34.62301748,AUTO,AUTO,Caballito,203784.0,6,Domingo
2016-0095,1,2016-07-23,2016,7,23,6.0,AVENIDA,MERCEDES,MERCEDES y MOSCONI GENERAL AV.,11.0,-58.51713095,-34.59546519,MOTO,AUTO,"Villa General Mitre, Villa Devoto, Villa del Parque, Villa Santa Rita",203491.0,5,Sábado
2016-0096,1,2016-07-25,2016,7,25,7.0,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8.0,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,0,Lunes
2016-0097,1,2016-07-26,2016,7,26,18.0,CALLE,SOLIS,SOLIS y MEXICO,1.0,-58.39038605,-34.6156281,PEATON,AUTO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,1,Martes
2016-0098,1,2016-07-27,2016,7,27,16.0,AVENIDA,SAN JUAN AV.,SAN JUAN AV. y ALBERTI,3.0,-58.40042405,-34.62356174,MOTO,CARGAS,"San Cristóbal, Balvanera",236294.0,2,Miércoles
2016-0099,1,2016-07-29,2016,7,29,16.0,GRAL PAZ,MOSCONI GENERAL AV.,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11.0,-58.52340614,-34.59798754,CARGAS,CARGAS,"Villa General Mitre, Villa Devoto, Villa del Parque, Villa Santa Rita",203491.0,4,Viernes
2016-0100,1,2016-08-03,2016,8,3,23.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DONADO",12.0,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,2,Miércoles
2016-0101,1,2016-08-07,2016,8,7,19.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y CHAVEZ, JORGE",9.0,-58.52932872,-34.65014993,,,"Liniers, Mataderos, Parque Avellaneda",169538.0,6,Domingo
2016-0102,1,2016-08-10,2016,8,10,23.0,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. y SUAREZ, JOSE LEON",9.0,-58.50011639,-34.67316502,MOTO,CARGAS,"Liniers, Mataderos, Parque Avellaneda",169538.0,2,Miércoles
2016-0104,1,2016-08-14,2016,8,14,21.0,AVENIDA,ZINNY,ZINNY y SANTIAGO DE COMPOSTELA AV.,9.0,-58.46635001,-34.65624369,MOTO,PASAJEROS,"Liniers, Mataderos, Parque Avellaneda",169538.0,6,Domingo
2016-0105,1,2016-08-17,2016,8,17,0.0,AVENIDA,"LACROZE, FEDERICO AV.","LACROZE, FEDERICO AV. y FRAGA",15.0,-58.45343236,-34.58435809,PEATON,PASAJEROS,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas",197903.0,2,Miércoles
2016-0106,1,2016-08-19,2016,8,19,21.0,AVENIDA,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1.0,-58.38090932,-34.58927731,PEATON,PASAJEROS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,4,Viernes
2016-0107,1,2016-08-20,2016,8,20,8.0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4.0,-58.37157668,-34.65429986,MOTO,AUTO,"Barracas, La Boca",230945.0,5,Sábado
2016-0109,1,2016-08-24,2016,8,24,5.0,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO y BARRAGAN,9.0,-58.52280139,-34.63659934,AUTO,OBJETO FIJO,"Liniers, Mataderos, Parque Avellaneda",169538.0,2,Miércoles
2016-0110,1,2016-08-24,2016,8,24,20.0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y CARHUE",9.0,-58.51232237,-34.6590353,PEATON,,"Liniers, Mataderos, Parque Avellaneda",169538.0,2,Miércoles
2016-0111,1,2016-08-25,2016,8,25,9.0,AUTOPISTA,LUGONES,LUGONES y LA PAMPA,15.0,-58.47461905,-34.57663634,MOTO,CARGAS,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas",197903.0,3,Jueves
2016-0112,1,2016-08-27,2016,8,27,4.0,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1.0,-58.38268809,-34.62282019,MOTO,OBJETO FIJO,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,5,Sábado
2016-0113,1,2016-08-27,2016,8,27,16.0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9.0,-58.49603546,-34.64564271,PEATON,PASAJEROS,"Liniers, Mataderos, Parque Avellaneda",169538.0,5,Sábado
2016-0114,1,2016-08-31,2016,8,31,11.0,CALLE,"SALGUERO, JERONIMO","SALGUERO, JERONIMO 1410",14.0,-58.41848605,-34.59394733,BICICLETA,CARGAS,Palermo,249016.0,2,Miércoles
2016-0115,1,2016-09-02,2016,9,2,11.0,CALLE,ARIAS,ARIAS y TRONADOR,12.0,-58.48935041,-34.54917673,,CARGAS,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,4,Viernes
2016-0116,1,2016-09-02,2016,9,2,20.0,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y ESCALADA AV.,8.0,-58.44451316,-34.68475866,MOTO,AUTO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,4,Viernes
