ID_HECHO,FECHA,AAAA,MM,DD,HH,DIA_SEMANA_NUM,DIA_SEMANA_STR,N_VICTIMAS,ACUSADO,VICTIMA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,COMUNA,COMUNA_NOMBRE,COMUNA_POB,TIPO_DE_CALLE,CALLE,DIRE_NOR,POSX,POSY
2016-0065,2016-05-20,2016,5,20,14.0,4,Viernes,1,AUTO,PEATON,PEATON,MASCULINO,20.0,2016-05-20,6.0,Caballito,203784.0,AVENIDA,GAONA AV.,GAONA AV. y ESPINOSA,-58.45227946,-34.61068024
2016-0067,2016-05-21,2016,5,21,17.0,5,Sábado,1,PASAJEROS,MOTO,PASAJERO_ACOMPAÑANTE,FEMENINO,30.0,,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AVENIDA,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y SARAZA",-58.48455411,-34.6751276
2016-0068,2016-05-22,2016,5,22,22.0,6,Domingo,1,PASAJEROS,MOTO,CONDUCTOR,MASCULINO,58.0,,2.0,Recoleta,158368.0,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",-58.39056593,-34.58418569
2016-0069,2016-05-23,2016,5,23,3.0,0,Lunes,1,CARGAS,AUTO,CONDUCTOR,MASCULINO,30.0,2016-05-23,3.0,"San Cristóbal, Balvanera",236294.0,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. y FILIBERTO,-58.39118948,-34.62704273
2016-0073,2016-06-11,2016,6,11,15.0,5,Sábado,1,CARGAS,MOTO,CONDUCTOR,MASCULINO,23.0,,10.0,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sársfield, Villa Luro",171797.0,CALLE,"MAGARI?OS CERVANTES, A.","MAGARIÃ‘OS CERVANTES, A. 3900",-58.49021952,-34.62025108
2016-0074,2016-06-12,2016,6,12,6.0,6,Domingo,1,AUTO,AUTO,CONDUCTOR,MASCULINO,60.0,,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y SCAPINO, RODOLFO",-58.49896559,-34.67732118
2016-0075,2016-06-12,2016,6,12,23.0,6,Domingo,1,AUTO,PEATON,PEATON,MASCULINO,42.0,2016-06-12,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,-58.47461076,-34.66874679
2016-0076,2016-06-13,2016,6,13,16.0,0,Lunes,1,PASAJEROS,PEATON,PEATON,FEMENINO,53.0,2016-06-13,15.0,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas",197903.0,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y CAMARONES,-58.46210891,-34.60356211
2016-0077,2016-06-13,2016,6,13,21.0,0,Lunes,1,PASAJEROS,PEATON,PEATON,FEMENINO,,,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",-58.3702777,-34.60536123
2016-0078,2016-06-13,2016,6,13,23.0,0,Lunes,1,MOTO,MOTO,CONDUCTOR,MASCULINO,30.0,,3.0,"San Cristóbal, Balvanera",236294.0,AVENIDA,BELGRANO AV.,BELGRANO AV. y JUJUY AV.,-58.40491455,-34.6146383
2016-0079,2016-06-16,2016,6,16,17.0,3,Jueves,1,AUTO,AUTO,CONDUCTOR,FEMENINO,51.0,,13.0,"Núñez, Belgrano, Colegiales",265199.0,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",-58.45504154,-34.54864492
2016-0080,2016-06-18,2016,6,18,6.0,5,Sábado,1,,AUTO,CONDUCTOR,MASCULINO,60.0,,9.0,"Liniers, Mataderos, Parque Avellaneda",169538.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y RIVADAVIA AV.",-58.52927982,-34.63931752
2016-0081,2016-06-22,2016,6,22,7.0,2,Miércoles,1,AUTO,MOTO,CONDUCTOR,MASCULINO,40.0,,12.0,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,AVENIDA,"LARRALDE, CRISOLOGO AV.","LARRALDE, CRISOLOGO AV. y MACHAIN",-58.4872106,-34.55904606
2016-0082,2016-06-27,2016,6,27,18.0,0,Lunes,1,AUTO,PEATON,PEATON,MASCULINO,87.0,2016-07-05,4.0,"Barracas, La Boca",230945.0,AVENIDA,LA PLATA AV.,LA PLATA AV. 2384,-58.42273092,-34.64228803
2016-0083,2016-06-28,2016,6,28,20.0,1,Martes,1,MOTO,PEATON,PEATON,FEMENINO,76.0,2016-06-29,6.0,Caballito,203784.0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y PUAN",-58.44788671,-34.62539009
2016-0084,2016-06-29,2016,6,29,22.0,2,Miércoles,1,PASAJEROS,PEATON,PEATON,MASCULINO,57.0,2016-07-08,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,CALLE,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y TUCUMAN",-58.38110563,-34.60135531
2016-0085,2016-06-29,2016,6,29,22.0,2,Miércoles,1,OTRO,MOTO,CONDUCTOR,MASCULINO,,,4.0,"Barracas, La Boca",230945.0,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",-58.42378834,-34.657341
2016-0086,2016-06-30,2016,6,30,16.0,3,Jueves,1,PASAJEROS,PEATON,PEATON,MASCULINO,75.0,2016-07-01,10.0,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sársfield, Villa Luro",171797.0,AVENIDA,OLIVERA AV.,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",-58.48727942,-34.63652467
2016-0087,2016-07-02,2016,7,3,0.0,5,Sábado,1,OBJETO FIJO,MOTO,CONDUCTOR,MASCULINO,23.0,2016-07-03,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,-58.37864583,-34.62907067
2016-0088,2016-07-11,2016,7,11,15.0,0,Lunes,1,AUTO,PEATON,PEATON,FEMENINO,70.0,2016-07-14,12.0,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,CALLE,CERETTI,CERETTI y NUÃ‘EZ,-58.5015175,-34.56767549
2016-0089,2016-07-14,2016,7,14,6.0,3,Jueves,1,AUTO,PEATON,PEATON,MASCULINO,35.0,2016-07-14,13.0,"Núñez, Belgrano, Colegiales",265199.0,AUTOPISTA,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV. y LA PAMPA",-58.43233425,-34.55185825
2016-0090,2016-07-14,2016,7,14,22.0,3,Jueves,1,PASAJEROS,PEATON,PEATON,MASCULINO,60.0,2016-07-15,5.0,"Almagro, Boedo",193859.0,AVENIDA,"SALGUERO, JERONIMO","SALGUERO, JERONIMO y RIVADAVIA AV.",-58.41971993,-34.6111224
2016-0092,2016-07-15,2016,7,15,11.0,4,Viernes,1,CARGAS,MOTO,CONDUCTOR,MASCULINO,24.0,2016-07-15,13.0,"Núñez, Belgrano, Colegiales",265199.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",-58.46743471,-34.53476874
2016-0093,2016-07-17,2016,7,17,3.0,6,Domingo,1,AUTO,AUTO,CONDUCTOR,MASCULINO,35.0,2016-07-19,6.0,Caballito,203784.0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",-58.44362126,-34.62301748
2016-0095,2016-07-23,2016,7,23,6.0,5,Sábado,1,AUTO,MOTO,CONDUCTOR,MASCULINO,29.0,2016-07-23,11.0,"Villa General Mitre, Villa Devoto, Villa del Parque, Villa Santa Rita",203491.0,AVENIDA,MERCEDES,MERCEDES y MOSCONI GENERAL AV.,-58.51713095,-34.59546519
2016-0096,2016-07-25,2016,7,25,7.0,0,Lunes,1,CARGAS,MOTO,CONDUCTOR,MASCULINO,,,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,-58.47433193007387,-34.66684950051973
2016-0097,2016-07-26,2016,7,26,18.0,1,Martes,1,AUTO,PEATON,PEATON,MASCULINO,80.0,2016-08-12,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,CALLE,SOLIS,SOLIS y MEXICO,-58.39038605,-34.6156281
2016-0098,2016-07-27,2016,7,27,16.0,2,Miércoles,1,CARGAS,MOTO,CONDUCTOR,FEMENINO,43.0,,3.0,"San Cristóbal, Balvanera",236294.0,AVENIDA,SAN JUAN AV.,SAN JUAN AV. y ALBERTI,-58.40042405,-34.62356174
2016-0099,2016-07-29,2016,7,29,16.0,4,Viernes,1,CARGAS,CARGAS,CONDUCTOR,MASCULINO,45.0,,11.0,"Villa General Mitre, Villa Devoto, Villa del Parque, Villa Santa Rita",203491.0,GRAL PAZ,MOSCONI GENERAL AV.,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",-58.52340614,-34.59798754
2016-0100,2016-08-03,2016,8,3,23.0,2,Miércoles,1,OBJETO FIJO,MOTO,CONDUCTOR,MASCULINO,57.0,2016-08-03,12.0,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DONADO",-58.49491054,-34.54795581
2016-0101,2016-08-07,2016,8,7,19.0,6,Domingo,1,,,,MASCULINO,67.0,,9.0,"Liniers, Mataderos, Parque Avellaneda",169538.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y CHAVEZ, JORGE",-58.52932872,-34.65014993
2016-0102,2016-08-10,2016,8,10,23.0,2,Miércoles,1,CARGAS,MOTO,CONDUCTOR,MASCULINO,29.0,,9.0,"Liniers, Mataderos, Parque Avellaneda",169538.0,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. y SUAREZ, JOSE LEON",-58.50011639,-34.67316502
2016-0104,2016-08-14,2016,8,14,21.0,6,Domingo,1,PASAJEROS,MOTO,CONDUCTOR,MASCULINO,21.0,2016-08-15,9.0,"Liniers, Mataderos, Parque Avellaneda",169538.0,AVENIDA,ZINNY,ZINNY y SANTIAGO DE COMPOSTELA AV.,-58.46635001,-34.65624369
